pool,model,predicted,argmax,plateau99,err_argmax,err_plateau99
hikari,USL,44,24,24,20,20
hikari,Little,12,24,24,12,12
hikari,ErlangC,19,24,24,5,5
hikari,Heuristic,25,24,24,1,1
dbcp2,USL,44,32,32,12,12
dbcp2,Little,12,32,32,20,20
dbcp2,ErlangC,19,32,32,13,13
dbcp2,Heuristic,25,32,32,7,7
agroal,USL,44,32,24,12,20
agroal,Little,11,32,24,21,13
agroal,ErlangC,17,32,24,15,7
agroal,Heuristic,25,32,24,7,1
