pool,model,predicted,argmax,plateau99,err_argmax,err_plateau99
hikari,USL,58,48,48,10,10
hikari,Little,7,48,48,41,41
hikari,ErlangC,13,48,48,35,35
hikari,Heuristic,25,48,48,23,23
dbcp2,USL,71,64,64,7,7
dbcp2,Little,7,64,64,57,57
dbcp2,ErlangC,13,64,64,51,51
dbcp2,Heuristic,25,64,64,39,39
agroal,USL,56,48,48,8,8
agroal,Little,9,48,48,39,39
agroal,ErlangC,15,48,48,33,33
agroal,Heuristic,25,48,48,23,23
