benchmark,mode,pool,poolSize,workload,threads,score,score_error,unit
transaction,thrpt,agroal,4,longTx,128,256.213,NaN,ops/s
transaction,thrpt,agroal,8,readMostly,128,24603.1,NaN,ops/s
transaction,thrpt,agroal,8,writeHeavy,128,16571.1,NaN,ops/s
transaction,thrpt,agroal,8,longTx,128,513.183,NaN,ops/s
transaction,thrpt,agroal,12,readMostly,128,28945.7,NaN,ops/s
transaction,thrpt,agroal,12,writeHeavy,128,19253.0,NaN,ops/s
transaction,thrpt,agroal,12,longTx,128,769.723,NaN,ops/s
transaction,thrpt,agroal,16,readMostly,128,33384.9,NaN,ops/s
transaction,thrpt,agroal,16,writeHeavy,128,23541.3,NaN,ops/s
transaction,thrpt,agroal,16,longTx,128,1026.55,NaN,ops/s
transaction,thrpt,agroal,24,readMostly,128,33647.3,NaN,ops/s
transaction,thrpt,agroal,24,writeHeavy,128,27708.7,NaN,ops/s
transaction,thrpt,agroal,24,longTx,128,1539.28,NaN,ops/s
transaction,thrpt,agroal,32,readMostly,128,20148.4,NaN,ops/s
transaction,thrpt,agroal,32,writeHeavy,128,20881.7,NaN,ops/s
transaction,thrpt,agroal,32,longTx,128,2049.36,NaN,ops/s
transaction,thrpt,agroal,48,readMostly,128,20589.3,NaN,ops/s
transaction,thrpt,agroal,48,writeHeavy,128,27990.8,NaN,ops/s
transaction,thrpt,agroal,48,longTx,128,3072.29,NaN,ops/s
transaction,thrpt,agroal,64,readMostly,128,31182.5,NaN,ops/s
transaction,thrpt,agroal,64,writeHeavy,128,26592.0,NaN,ops/s
transaction,thrpt,agroal,64,longTx,128,4104.77,NaN,ops/s
transaction,thrpt,agroal,96,readMostly,128,29252.4,NaN,ops/s
transaction,thrpt,agroal,96,writeHeavy,128,27465.1,NaN,ops/s
transaction,thrpt,agroal,96,longTx,128,6126.79,NaN,ops/s
